Date	Party	Channel	Location	Candidates
8/6/15	Republican	Fox News	"Quicken Loans Arena, Cleveland, Ohio"	"Donald Trump, Jeb Bush, Scott Walker, Mike Huckabee, Ben Carson, Ted Cruz, Marco Rubio, Rand Paul, Chris Christie, John Kasich. Secondary: Rick Santorum, Bobby Jindal, Carly Fiorina, Lindsey Graham, George Pataki, Jim Gilmore"
9/16/15	Republican	CNN/Salem Radio	"Ronald Reagan Presidential Library, Simi Valley, Calif."	"Donald Trump, Ben Carson, Jeb Bush, Ted Cruz, Scott Walker, Marco Rubio, Carly Fiorina, Mike Huckabee, Rand Paul, John Kasich, Chris Christie. Secondary: Rick Santorum, Bobby Jindal, George Pataki, Lindsey Graham"
10/13/15	Democrat	CNN	"Las Vegas, Nevada"	"Hillary Clinton, Bernie Sanders, Martin OÕMalley, Jim Webb, Lincoln Chafee"
10/28/15	Republican	CNBC	"Boulder, Colorado"	"Donald Trump, Ben Carson, Jeb Bush, Marco Rubio, Ted Cruz, Mike Huckabee, Rand Paul, Carly Fiorina, Chris Christie, John Kasich. Secondary: Rick Santorum, Bobby Jindal, George Pataki, Lindsey Graham"
11/10/15	Republican	Fox Business/Wall Street Journal	"Milwaukee Theater, Milwaukee, Wisconsin"	"Donald Trump, Ben Carson, Marco Rubio, Ted Cruz, Jeb Bush, Carly Fiorina, John Kasich, Rand Paul. Secondary: Chris Christie, Mike Huckabee, Bobby Jindal, Rick Santorum"
11/14/15	Democrat	CBS/KCCI/Des Moines Register	"Drake University, Des Moines, Iowa"	"Hillary Clinton, Bernie Sanders, Martin O'Malley"
12/15/15	Republican	CNN/Salem Radio	"The Venetian, Las Vegas, Nevada"	"Donald Trump, Ben Carson, Ted Cruz, Marco Rubio, Jeb Bush, Carly Fiorina, Chris Christie, John Kasich, Rand Paul. Secondary: Mike Huckabee, Rick Santorum, Lindsey Graham, George Pataki."
12/19/15	Democrat	ABC/WMUR	"St. Anselm College, Manchester, New Hampshire"	"Hillary Clinton, Bernie Sanders, Martin O'Malley"
1/14/16	Republican	Fox Business	"North Charleston Coliseum and Performing Arts Center, North Charleston, South Carolina"	"Donald Trump, Ted Cruz, Marco Rubio, Ben Carson, Chris Christie, Jeb Bush, John Kasich. Secondary: Carly Fiorina, Mike Huckabee, Rick Santorum"
1/17/16	Democrat	NBC/YouTube	"Gaillard Center, Charleston, South Carolina"	"Hillary Clinton, Bernie Sanders, Martin O'Malley"
1/28/16	Republican	Fox News	"Iowa Events Center, Des Moines, Iowa"	"Ted Cruz, Marco Rubio, Ben Carson, Jeb Bush, Chris Christie, John Kasich, Rand Paul. (Donald Trump qualified but said he will not participate.) Secondary: Carly Fiorina, Mike Huckabee, Rick Santorum, Jim Gilmore"
2/4/16	Democrat	MSNBC	"University of New Hampshire, Durham, New Hampshire"	"Hillary Clinton, Bernie Sanders"
2/6/16	Republican	ABC News/IJReview	"St. Anselm College, Manchester, New Hampshire"	"Donald Trump, Ted Cruz, Marco Rubio, Ben Carson, Jeb Bush, Chris Christie, John Kasich"
2/11/16	Democrat	PBS	"University of Wisconsin-Milwaukee, Milwaukee, Wisconsin"	"Hillary Clinton, Bernie Sanders"
2/13/16	Republican	CBS News	"Peace Center, Greenville, South Carolina"	"Donald Trump, Ted Cruz, Marco Rubio, Jeb Bush, Ben Carson, John Kasich"
2/25/16	Republican	CNN/Telemundo/Salem Radio	"University of Houston, Houston, Texas"	"Donald Trump, Ted Cruz, Marco Rubio, John Kasich, Ben Carson"
3/3/16	Republican	Fox News	"Fox Theatre, Detroit, Michigan"	"Donald Trump, Ted Cruz, Marco Rubio, John Kasich"
3/6/16	Democrat	CNN	"Flint, Michigan"	"Hillary Clinton, Bernie Sanders"
3/9/16	Democrat	Univision/The Washington Post	"Miami, Florida"	"Hillary Clinton, Bernie Sanders"
3/10/16	Republican	CNN/Salem Radio/Washington Times	"University of Miami, Miami, Florida"	"Donald Trump, Ted Cruz, Marco Rubio, John Kasich"
3/21/16	Republican	Fox News	"Salt Palace Convention Center, Salt Lake City, Utah"	Cancelled
