Week,ted cruz wife,ted cruz canada,ted cruz immigration,ted cruz zodiac killer,john kasich wife,john kasich ohio,donald trump wall,donald trump wife,donald trump immigration,make america great again,bernie sanders socialist,bernie sanders bird,bernie sanders old,feel the bern,hillary for america,hillary clinton benghazi,hillary clinton email,hillary clinton snl
2015-08-02 - 2015-08-08,2,5,1,0,2,3,2,16,3,6,4,0,2,2,0,2,4,0
2015-08-09 - 2015-08-15,1,1,0,0,1,1,1,17,2,4,8,0,8,3,0,2,11,0
2015-08-16 - 2015-08-22,1,3,1,0,0,1,2,20,13,9,5,0,5,3,0,2,16,1
2015-08-23 - 2015-08-29,0,1,1,0,0,1,3,21,11,7,4,0,3,3,1,2,11,1
2015-08-30 - 2015-09-05,0,1,0,0,0,0,2,14,7,5,5,0,4,2,1,2,15,0
2015-09-06 - 2015-09-12,0,0,0,0,0,0,2,10,5,5,5,0,6,3,0,1,12,0
2015-09-13 - 2015-09-19,2,1,1,0,1,1,3,22,6,9,6,0,6,5,0,2,10,0
2015-09-20 - 2015-09-26,1,1,1,0,0,1,3,10,4,4,4,0,3,5,0,1,10,0
2015-09-27 - 2015-10-03,0,1,0,0,0,0,2,11,4,4,2,0,2,2,1,1,10,1
2015-10-04 - 2015-10-10,0,1,0,0,0,0,2,11,3,4,3,0,3,3,0,2,8,32
2015-10-11 - 2015-10-17,1,1,0,0,0,0,2,9,3,4,9,0,21,7,1,5,15,4
2015-10-18 - 2015-10-24,1,1,0,0,0,0,2,7,3,4,4,0,5,3,1,39,12,4
2015-10-25 - 2015-10-31,2,1,1,0,1,1,2,10,4,6,2,0,4,3,1,8,6,2
2015-11-01 - 2015-11-07,1,1,1,0,0,1,2,7,3,3,2,0,3,3,0,3,5,1
2015-11-08 - 2015-11-14,3,1,2,0,1,1,3,12,4,3,2,0,4,3,0,2,4,2
2015-11-15 - 2015-11-21,1,1,1,0,0,1,2,13,3,3,3,0,5,2,1,2,4,1
2015-11-22 - 2015-11-28,1,2,1,0,0,0,2,13,2,3,2,0,2,2,0,1,2,1
2015-11-29 - 2015-12-05,2,1,1,0,0,0,2,9,2,4,2,0,2,2,1,1,4,1
2015-12-06 - 2015-12-12,2,2,1,0,0,0,2,14,5,5,2,0,3,3,1,2,4,1
2015-12-13 - 2015-12-19,7,6,3,0,0,1,2,17,3,6,2,0,4,4,1,2,4,1
2015-12-20 - 2015-12-26,5,3,1,0,0,0,2,14,1,5,2,0,10,3,0,4,4,7
2015-12-27 - 2016-01-02,1,2,0,0,0,0,1,13,1,3,2,0,3,2,0,2,3,1
2016-01-03 - 2016-01-09,2,7,1,0,0,0,3,11,2,4,2,0,4,3,1,4,5,1
2016-01-10 - 2016-01-16,8,7,1,0,0,1,2,13,3,5,4,0,14,4,1,8,7,1
2016-01-17 - 2016-01-23,9,4,1,0,0,0,2,15,3,5,7,0,29,6,1,11,12,1
2016-01-24 - 2016-01-30,7,7,2,0,1,1,3,20,3,6,7,0,23,6,1,7,14,1
2016-01-31 - 2016-02-06,22,17,5,0,1,1,3,28,4,6,13,0,37,13,2,6,15,1
2016-02-07 - 2016-02-13,8,4,2,0,10,3,3,29,3,7,12,0,41,16,1,5,11,2
2016-02-14 - 2016-02-20,9,10,3,5,2,2,4,20,3,6,6,0,18,8,1,3,8,5
2016-02-21 - 2016-02-27,9,6,3,26,1,2,9,59,6,12,7,0,18,8,1,4,10,1
2016-02-28 - 2016-03-05,14,6,4,44,2,4,9,55,8,18,9,0,25,10,2,14,21,1
2016-03-06 - 2016-03-12,10,4,3,30,4,5,7,39,6,15,9,0,27,10,1,9,17,3
2016-03-13 - 2016-03-19,7,2,3,23,10,12,8,35,6,16,7,0,24,11,2,9,12,11
2016-03-20 - 2016-03-26,100,2,2,21,2,1,7,83,3,12,4,24,13,7,1,5,12,2
2016-03-27 - 2016-04-02,35,1,1,26,2,1,4,45,3,11,4,39,15,7,1,3,14,1
2016-04-03 - 2016-04-09,17,2,2,22,1,1,6,33,3,9,4,4,20,7,1,2,11,1
2016-04-10 - 2016-04-16,8,2,2,22,3,1,5,23,3,9,3,3,20,7,1,3,8,7
2016-04-17 - 2016-04-23,5,1,2,25,1,1,5,19,3,8,3,2,16,6,1,3,9,2
2016-04-24 - 2016-04-30,5,1,1,19,1,1,5,20,3,11,2,1,14,5,1,3,10,1
