Week,donald trump wife,donald trump daughter,donald trump wall,donald trump immigration,donald trump isis,donald trump abortion,make america great again,donald trump hands,ted cruz canada,ted cruz zodiac killer,ted cruz wife,ted cruz sex scandal,ted cruz immigration,hillary clinton email,hillary clinton benghazi,hillary clinton snl,hillary for america,john kasich wife,john kasich ohio,bernie sanders socialist,bernie sanders bird,bernie sanders old,feel the bern
2016-01-03 - 2016-01-09,12,6,3,3,4,0,4,0,7,0,2,0,1,5,4,1,1,0,0,2,0,4,2
2016-01-10 - 2016-01-16,13,7,3,3,3,1,5,0,7,0,7,0,1,8,8,1,1,0,1,4,0,14,5
2016-01-17 - 2016-01-23,15,6,2,3,2,2,5,0,4,0,9,0,2,12,11,1,1,1,0,7,0,29,6
2016-01-24 - 2016-01-30,20,7,3,3,2,2,6,1,7,0,7,0,2,14,7,1,1,1,1,7,0,22,7
2016-01-31 - 2016-02-06,30,15,3,4,2,2,6,1,18,0,21,0,5,15,6,1,1,1,1,13,0,37,13
2016-02-07 - 2016-02-13,30,8,3,3,2,2,7,2,4,0,9,0,2,11,4,2,1,10,3,13,0,43,16
2016-02-14 - 2016-02-20,21,40,5,4,2,2,6,1,10,6,9,0,3,9,3,5,1,2,2,6,0,18,8
2016-02-21 - 2016-02-27,61,23,9,6,2,3,12,1,6,27,10,0,3,11,4,1,1,1,2,7,0,18,8
2016-02-28 - 2016-03-05,57,24,9,8,3,4,18,18,5,44,14,0,4,22,14,1,2,2,4,9,0,26,11
2016-03-06 - 2016-03-12,40,15,7,6,2,2,15,9,4,31,11,0,3,17,9,3,1,4,5,8,0,27,11
2016-03-13 - 2016-03-19,35,16,8,6,4,3,16,3,2,24,7,1,2,13,9,11,2,10,11,7,0,25,10
2016-03-20 - 2016-03-26,85,13,7,4,5,1,12,3,2,22,100,36,2,12,5,2,1,2,1,4,24,15,7
2016-03-27 - 2016-04-02,45,12,4,3,3,18,11,2,2,26,36,14,2,14,4,1,1,2,1,4,39,16,8
2016-04-03 - 2016-04-09,33,12,6,3,2,6,9,2,2,22,18,5,2,11,2,1,1,1,1,4,4,21,7
